None 29
None 53
None 47
None 53
None 74
None 58
None 75
None 53
None 49
None 55
None 60
None 64
None 58
None 48
None 51
None 51
None 46
None 54
None 60
None 56
38.510434833 -121.409514167 55
38.5104365 -121.409512167 73
38.510438167 -121.40951 58
38.5104405 -121.409509167 61
38.5104425 -121.409509167 63
38.510444167 -121.409508333 56
38.510445833 -121.409502 70
38.510447333 -121.409479 69
38.510449833 -121.409436 69
38.5104525 -121.409378833 62
38.510455167 -121.4093075 59
38.510472667 -121.409231333 64
38.510504833 -121.409153167 76
38.510553667 -121.409086833 74
38.510624167 -121.409044167 67
38.510732333 -121.409018667 73
38.510840667 -121.409013167 60
38.510955667 -121.409008167 72
38.511082333 -121.409006167 61
38.511217167 -121.4090045 61
38.511358833 -121.4090005 69
38.511507833 -121.408997 64
38.511662833 -121.408994667 69
38.511824833 -121.408992833 73
38.511989833 -121.408992667 83
38.512165 -121.408994667 60
38.512346833 -121.408995 64
38.512530667 -121.4090015 67
38.512718 -121.409014333 80
38.512904833 -121.409026 59
38.5130935 -121.4090315 64
38.513281667 -121.409029167 69
38.5134735 -121.409018833 58
38.513668333 -121.409008333 57
38.513866333 -121.408999667 49
38.514068833 -121.408996 46
38.514273833 -121.408997333 59
38.514474667 -121.408999333 51
38.514668667 -121.4090005 64
38.514859667 -121.408999667 71
38.515041333 -121.409000167 59
38.515216167 -121.4090005 49
38.515372333 -121.409003833 59
38.515509 -121.409005667 70
38.5156235 -121.409006167 64
38.515714 -121.409005833 66
38.5157845 -121.409006333 59
38.515835833 -121.4090065 60
38.515869667 -121.409006667 64
38.5158925 -121.409008167 54
38.515902667 -121.409009 73
38.5159045 -121.409009 69
38.515905333 -121.4090095 71
38.515905167 -121.409009833 57
38.5159055 -121.409009333 64
38.5159055 -121.409009 53
38.515906 -121.409008833 51
38.515906833 -121.409008333 60
38.5159075 -121.409008333 64
38.515908333 -121.409008667 68
38.515909167 -121.409008333 57
38.515909667 -121.409008833 79
38.515911 -121.409008833 60
38.515911833 -121.4090085 48
38.515913 -121.409008833 63
38.515914167 -121.409009167 68
38.515915333 -121.409009333 60
38.515918667 -121.409009333 77
38.5159355 -121.409011833 59
38.5159725 -121.409012833 54
38.516025 -121.409014 51
38.5160915 -121.409012833 61
38.516170167 -121.409012333 69
38.5162595 -121.409014 81
38.516359833 -121.409015 70
38.516470333 -121.409016833 61
38.516591333 -121.409017833 62
38.5167205 -121.409019833 71
38.516856667 -121.409021833 69
38.516999167 -121.409023833 54
38.517148333 -121.409025167 74
38.5173035 -121.409026 62
38.517463333 -121.409026333 57
38.517625167 -121.409025667 64
38.517788 -121.409026333 70
38.517954 -121.409026833 54
38.518123333 -121.409026333 62
38.518295 -121.409026 54
38.5184675 -121.409026 82
38.518642833 -121.4090255 68
38.518819833 -121.409024667 68
38.518996167 -121.409022333 64
38.5191655 -121.409021667 67
38.519325 -121.409022167 65
38.519472667 -121.409022 55
38.5196095 -121.409021833 72
38.519729333 -121.409023167 82
38.519836 -121.409025 58
38.519928167 -121.409025833 56
38.520005 -121.4090265 65
38.520068167 -121.409027667 54
38.520116667 -121.409027833 57
38.520151833 -121.409028333 64
38.5201735 -121.4090295 51
38.520187833 -121.409028833 69
38.520198833 -121.409029 49
38.5202115 -121.409029333 50
38.520226333 -121.409029167 68
38.520243667 -121.409028833 56
38.520263833 -121.409028833 52
38.5202875 -121.409029667 60
38.520317667 -121.409030333 71
38.520354 -121.409030667 65
38.520398833 -121.409032 68
38.520451167 -121.4090335 65
38.520509833 -121.409035333 60
38.520571667 -121.409037 58
38.520637 -121.409038667 53
38.520707833 -121.4090395 64
38.520780333 -121.409039333 64
38.520850333 -121.4090395 64
38.520920333 -121.409039667 51
38.520993667 -121.409039667 58
38.521064667 -121.409040333 58
38.521138 -121.4090405 73
38.521211833 -121.409040667 52
38.521288167 -121.4090405 61
38.521362667 -121.409041 64
38.521435667 -121.409042333 50
